N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S9_C1_P2,0.983,0.964,0.011,0.975,0.984
2,E5_S9_C1_P3,0.962,0.936,0.023,0.945,0.969
3,E5_S9_C1_P4,0.977,0.943,0.026,0.93,0.966
4,E5_S9_C1_P7,0.983,0.96,0.021,0.948,0.973
5,E5_S9_C1_P10,0.983,0.962,0.017,0.96,0.977
6,E5_S9_C1_P13,0.992,0.982,0.009,0.977,0.986
7,E5_S9_C1_P14,0.981,0.964,0.013,0.966,0.982
8,E5_S9_C1_P16,0.983,0.965,0.014,0.965,0.981
9,E5_S9_C1_P19,0.973,0.945,0.016,0.956,0.978
10,E5_S9_C1_P25,0.987,0.965,0.011,0.97,0.984
,Average:,0.98,0.959,0.016,0.959,0.978
