N,Subset,maxFm,wFmeasure,MAE,Smeasure,meanEm
1,E5_S9_C1_P2,0.919,0.847,0.045,0.874,0.907
2,E5_S9_C1_P3,0.667,0.148,0.194,0.446,0.336
3,E5_S9_C1_P4,0.598,0.139,0.224,0.432,0.34
4,E5_S9_C1_P7,0.518,0.122,0.261,0.408,0.328
5,E5_S9_C1_P10,0.325,0.083,0.262,0.391,0.303
6,E5_S9_C1_P13,0.357,0.119,0.265,0.403,0.339
7,E5_S9_C1_P14,0.299,0.018,0.248,0.375,0.263
8,E5_S9_C1_P16,0.276,0.007,0.228,0.385,0.255
9,E5_S9_C1_P19,0.253,0.007,0.207,0.396,0.252
10,E5_S9_C1_P25,0.243,0.005,0.199,0.4,0.251
,Average:,0.446,0.15,0.213,0.451,0.357
